0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-697.7926,54.89004,0.6634653,12.435786,7.7339516,0.5307501,-3.216631,-3.1593945,-10.977551,-2.848711,0.81529754,-3.037067,1.9554468,-3.735668,0.4377003,0.7823565,-4.0714283,-1.8607764,-1.3236899,-0.9204634,-5.9476104,-0.50543827,-2.3373914,-4.5227795,-1.6797223,-0.8193209,-4.858483,0.25533593,-2.1487043,0.14505504,-2.0357563,-2.119634,-2.7125885,-1.836127,-3.204805,-1.5453684,-1.0909373,-1.7701063,-3.501132,-1.5380875,neutral
-692.8558,55.3639,-1.5483192,16.038305,8.81881,-0.14658625,-1.3733919,-5.29318,-11.623182,-1.3482836,0.8437146,-2.6412783,1.0172496,-3.2715342,-0.12507735,0.41549593,-4.512702,-0.9811603,-1.9375046,0.5396793,-5.461219,-0.8736729,-2.0000944,-4.716795,-0.6370717,-1.6493348,-4.804332,1.2920089,-2.3068974,0.16486615,-1.4563134,-2.6772988,-2.1432643,-2.4610777,-3.0190272,-0.80486065,-1.2902694,-3.0869722,-3.2097483,-2.3071594,neutral
-691.5879,58.024662,0.1594644,13.62465,5.374112,1.1623365,-2.0833592,-5.382585,-10.332824,-3.6620808,0.5606005,-2.8382258,1.8347855,-3.4295058,-2.008959,0.8973522,-4.9566164,-3.0928066,0.08493783,0.082550935,-5.342685,-1.0300522,-1.9516917,-3.3513253,-1.3088562,-0.32409546,-4.1769767,-0.30928522,-2.1818514,-0.29272518,-1.8071278,-2.1343443,-2.395042,-1.9029368,-2.7644312,-1.9791775,-1.1045033,-2.7295372,-3.5089064,-2.2463746,neutral
-685.10547,55.87942,2.7832623,13.252023,6.989669,2.9812744,-1.586029,-6.961661,-10.348489,-3.270769,1.1761657,-1.4986559,0.55155015,-2.7526164,-1.1690222,1.8486956,-4.37864,-2.018788,-0.10291691,-0.61093485,-4.8114753,-1.8650618,-1.3410417,-2.6694007,-2.0776443,-0.9822339,-4.1827083,-0.024767159,-2.1837108,0.4815904,-2.4396863,-2.1663747,-2.8813002,-2.769905,-3.2363772,-1.4572068,-0.9531056,-2.4500818,-3.4195795,-3.367245,neutral
-727.1044,62.355034,3.121181,15.064671,8.132434,1.927084,-3.2746563,-3.7617917,-9.7502985,-4.853837,0.99631524,-3.11607,0.5463204,-3.2890222,-0.41249597,1.5854981,-5.4650416,-0.717683,-1.1985663,-1.5290675,-4.65829,-1.3028672,-2.738592,-4.288325,-1.7293986,-1.1769474,-4.8241954,1.3670596,-3.0660093,0.55100673,-2.091125,-1.2008951,-1.9106003,-2.4236846,-1.7693837,-0.41855642,-1.7917831,-1.7210655,-3.8579278,-2.7115366,calm
-707.3582,66.736465,2.2534885,11.169915,9.742079,1.0580919,-4.426185,-4.6836147,-8.313273,-4.813667,1.7525572,-2.3765423,-0.20691955,-3.468696,-1.5752851,1.1110423,-4.9100523,-2.159928,-0.7920939,-1.4160712,-4.60517,-1.7617528,-2.5678155,-4.2619567,-2.1242702,-1.3611802,-4.4221683,0.30173647,-2.8640974,0.21939561,-3.3755891,-2.320424,-3.3910594,-3.4193506,-3.7625537,-1.2389066,-2.1158082,-3.0562005,-4.2864046,-4.068605,calm
-697.16614,65.1082,0.93036777,13.633627,5.959596,2.8950698,-1.3418186,-4.7757535,-8.671516,-4.5529985,1.9706045,-1.6276461,1.4267263,-4.512681,1.4856336,0.12033364,-6.2861857,-2.6441512,-0.07365544,-1.7246207,-5.888149,-1.4929605,-2.2940514,-3.2510755,-2.3311152,-1.049936,-5.421697,0.8989102,-3.8330967,-0.11006124,-3.1405466,-1.7525977,-2.5507133,-3.1152203,-4.218177,-2.0304513,-2.1678355,-2.3133814,-4.7583847,-2.8727634,calm
-698.6377,68.698586,1.1003666,13.685943,8.338752,2.0671213,-0.61679065,-5.732325,-7.861324,-4.4119186,1.0114723,-1.7058653,1.5934341,-3.5992126,0.6062444,1.1798763,-5.454558,-1.8621155,-0.45047113,-1.0337068,-6.3316145,-1.509112,-2.3525429,-2.0545113,-2.56466,-0.628965,-4.3460937,0.17338051,-3.830855,0.0648481,-3.471006,-1.7393603,-2.234445,-2.612775,-3.4992464,-1.7921942,-1.2107463,-2.366726,-3.489472,-3.3519742,calm
-734.1256,70.53291,4.22518,13.866501,9.276525,1.8420299,-3.7091064,-2.8845077,-6.3325033,-4.483915,2.0064912,-0.029675197,-0.17859097,-3.775252,0.14778891,0.43423694,-1.8853134,-2.5887418,-0.40041503,1.0377576,-7.0278807,0.003850937,-2.6830063,-3.931071,-1.9202541,-0.7779221,-3.2663581,1.004213,-3.2461143,0.1815305,-3.5314636,-2.8758774,-3.8215027,-2.0913365,-5.3262854,0.4885443,-2.8973765,-2.4300013,-4.8473372,-3.196199,calm
-697.8223,67.33959,-0.44955143,11.884349,6.899115,0.57238877,-4.5503764,-6.025095,-7.9348655,-4.872442,2.6747522,-1.4644697,-1.1086311,-4.68031,-0.10664478,-0.87412363,-4.023424,-2.223397,-0.75716484,-0.25101364,-6.4024,0.11486966,-2.189419,-3.664039,-2.400217,-1.5357817,-4.5921235,0.12194187,-2.7362068,-0.65316015,-3.9872084,-2.440517,-4.265291,-2.8770092,-5.2783966,-1.1333706,-2.1303873,-2.2514794,-4.45834,-3.4148383,calm
